company,booth,official_description,likely_segment,tabmac_relevance,outreach_priority,why_contact,suggested_pitch_angle
"American Board of Psychiatry and Neurology, Inc.",850,The American Board of Psychiatry and Neurology serves the public interest and the professions of psychiatry and neurology by promoting and assessing the competence of psychiatrists and neurologists and by establishing standards for initial and continuing certification programs.,Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
American Physician Institute - Beat the Boards,1339,"American Physician Institute (API) provides high-yield continuing medical education, presented by knowledgeable experts and designed to be the most convenient and effective way to meet the career needs of practicing physicians. API courses include Psychiatry, Child and Adolescent Psychiatry, Geriatric Psychiatry, Consultation Liaison Psychiatry, and Addiction Psychiatry/Medicine",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
"American Professional Agency, Inc.",1131,"As the endorsed Program Administrator of the American Psychiatric Association’s Professional Liability Insurance program, we provide comprehensive protection at competitive rates; there are many benefits and discounts for which you may qualify. We now offer a Cyber Liability and Security Coverage endorsement, and our policyholders have access to a team of knowledgeable and experienced Risk Management Experts for consultation and a 24-7 emergency hotline. We have an active switchboard eliminating waiting time to reach a representative to assist you in tailoring a policy to your needs. With over 50 years of protecting our policyholders and the endorsement of the APA we assure you that you can place your trust in with our company you can concentrate on what you do best, helping others. Please swing by booth 1911 to learn more and how easy it is to switch to our company.",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
Ampa,1157,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Anise Health,KIOSK 11,"Anise Health is a specialized digital mental health platform providing culturally-attuned care tailored for the Asian community. By integrating teletherapy, behavioral coaching, and evidence-based digital tools, we address unique stressors such as bicultural tension, intergenerational dynamics, and racial trauma. We ensure clinical excellence by training our diverse provider team in cultural competency, resulting in best-in-class outcomes: 93% of clients show measurable improvement in symptoms of depression and anxiety by week eight, and 96% report feeling deeply understood. For psychiatrists seeking a reliable referral partner, Anise offers immediate availability for new patients and is in-network with major commercial insurance plans across CA, NY, WA, MA, and FL. Patients can be instantly matched to best-fit therapists and initiate care via a brief intake form on our website, ensuring a seamless transition of care.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
ANT North America Inc,1347,"ANT Neuro is a technology leader in high-density EEG, offering state-of-the-art systems tailored to the demands of cutting-edge research. ANT's eego line of EEG devices and saline-based EEG nets enable efficient collection of high-density EEG data (8–256 channels) either at rest or during movement. Our team of EEG and neuromodulation experts is happy to discuss how ANT’s devices can help you achieve your research aims.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
APA Test 2,2420,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
APM BILLING,KIOSK 6,"APM Billing is proud to attend the APA Annual Meeting, bringing deep expertise in psychiatric billing and revenue optimization. We specialize in medication management and also complex and high-acuity services, including Transcranial Magnetic Stimulation (TMS), Spravato (esketamine), ketamine therapy (IM and IV), and specialty medications such as Vivitrol. Our team understands the nuances of psychiatric coding, documentation, and payer requirements, allowing us to consistently secure appropriate reimbursement for even the most challenging claims. As seasoned Insurance Negotiators, we go beyond standard billing, we actively pursue denied claims, successfully overturn insurance recoupment requests, and advocate on your behalf to maximize revenue for your practice. Our approach is guided by our core motto: “no claim left behind.” Whether you are looking to strengthen your revenue cycle or recover lost income, APM Billing is your dedicated partner in ensuring your psychiatry practice is fully optimized.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
ARC Health,534,"ARC Health is a premier group of mental healthcare providers who have come together as partners while maintaining our individual identities. Our forward-thinking and supportive partnership of mental healthcare providers is geared towards increasing accessibility via a collaborative, nationwide network. We are pioneering the space with a unified, provider centric model that reinforces clinical autonomy while also coming together as equity owning partners.",Health system/provider network,"Strong hospitality fit: health system/provider network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Large care organizations commonly bring recruiting, leadership, and clinical teams to specialty meetings.","Pitch curated team dinners, physician recruiting meals, and easy group reservations close to Moscone hotels."
Army Medical Recruiting,549,"Army Medicine offers benefits that can advance your skills and knowledge, shape your perspective, and provide you a comfortable and rewarding lifestyle. Whether you choose the U.S. Army as your career or serve in the U.S. Army Reserve while maintaining your existing practice, you’ll enter as a commissioned Officer. The health care lifestyle will give you respect, responsibility and prestige that are afforded your rank.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Astrya Global,648,"Astrya Global is a California-based medical staffing agency, accredited by the Joint Commission and the National Association of Locum Tenens Organizations (NALTO). Ranked as one of the fastest growing staffing firms in the U.S. by SIA, we specialize in mental and behavioral healthcare roles across the U.S and are one of the largest correctional staffing agencies in California.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Atrium Health,1336,"Atrium Health is a nationally recognized leader in shaping health outcomes through innovative research, education and compassionate patient care. Based in Charlotte, North Carolina, Atrium Health is an integrated, nonprofit health system with more than 70,000 teammates serving patients at 40 hospitals and more than 1,400 care locations. Advocate Health is the third-largest nonprofit integrated health system in the United States. Providing care under the names Advocate Health Care in Illinois, Atrium Health in the Carolinas, Georgia and Alabama, and Aurora Health Care in Wisconsin, Advocate Health is a national leader in clinical innovation, health outcomes, consumer experience and value-based care. Headquartered in Charlotte, North Carolina, Advocate Health services nearly 6 million patients and is engaged in hundreds of clinical trials and research studies, with Wake Forest University School of Medicine serving as the academic core of the enterprise. Advocate Health employs 155,000 teammates across 69 hospitals and over 1,000 care locations and offers one of the nation’s largest graduate medical education programs with over 2,000 residents and fellows across more than 200 programs. At Advocate Health, we are dedicated to being the Best Place to Care. We attract and retain top clinicians by empowering them to maximize their passion, potential, and performance. Our heartfelt commitment ensures physicians and APPs can focus on what truly matters: their patients.",Research/CRO,"Strong hospitality fit: research/cro exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Research organizations may meet sponsors, investigators, and clinical partners while onsite.","Pitch quiet dinner spots for investigator, sponsor, and partner conversations near the convention corridor."
Austen Riggs Center,1930,"Austen Riggs is a vital therapeutic community, open psychiatric residential treatment center, and institute for education, research, and advocacy in the field of mental health. Located in the Berkshire Hills of Western Massachusetts, Riggs has been serving adults since its founding in 1919. Riggs’ mission is to promote resilience and self-direction in those with complex psychiatric problems. In addition to the clinical mission, the Erikson Institute for Education, Research, and Advocacy of the Austen Riggs Center studies individuals in their social contexts through research, training, and education, and conducts outreach programs in the local community and beyond. For more information, visit www.AustenRiggs.org.",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
Autism Learning Partners,1638,"Autism Learning Partners (ALP) is a leading provider of evidence-based autism services, specializing in Applied Behavior Analysis (ABA) for children and adolescents. We partner closely with pediatricians, psychiatrists, and multidisciplinary providers to deliver coordinated, high-quality care that supports each child’s unique developmental needs. ALP offers comprehensive services, including diagnostic support in select regions, center-based and in-home ABA therapy, and individualized treatment plans designed to promote meaningful, measurable outcomes. Our clinical teams prioritize collaboration with referring providers, ensuring continuity of care and clear communication throughout the treatment journey. With a focus on accessibility, ALP is committed to reducing barriers to care through timely access to services and streamlined referral processes. We proudly accept a wide range of commercial insurance plans and work alongside families and providers to ensure children receive the support they need, when they need it.",Practice services/marketing,Moderate hospitality fit: practice services/marketing exhibitor may need casual team meals or small-group restaurant help.,Medium,Practice-service vendors sell to clinicians and may use dinners for prospect follow-up and partner meetings.,Offer simple private-dining and restaurant shortlist support for prospect meals and vendor team dinners.
Axsome Therapeutics Inc.,2056,"Axsome is developing therapies for CNS conditions with limited treatment options. By creating treatments with novel mechanisms of action, we are transforming the approach to treating CNS conditions. At Axsome, we are committed to developing therapeutic approaches that meaningfully improve the lives of patients and provide additional options for physicians.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Axsome Therapeutics Medical Affairs,1838,,Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
BastionGPT,1641,"BastionGPT gives mental health practitioners secure access to the most powerful AI models while supporting HIPAA compliance requirements. Where using generic tools like ChatGPT with PHI often creates compliance violations and legal risk, BastionGPT provides psychiatrists with secure access to models from OpenAI (including GPT-5.2), Claude, and Gemini Pro specifically tuned for clinical use. Start your 7-day free trial at bastiongpt.com.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Bay Psychiatric Associates,650,"In 1994, a small group of psychiatrists formed Bay Psychiatric Associates because they recognized the need for a more effective and collaborative model of care. Our success led to the addition of outpatient and interventional services, with expansion to multiple locations. Today, BPA maintains a uniquely democratic workplace where patient care and physician autonomy are paramount. We are proud to offer a continuum of clinical care that is both holistic and individualized, with support for physicians to continue to learn and refine their clinical skills. For our physicians and our patients, we recognize the value of collaboration, creativity, and community in creating and sustaining well-being.",Behavioral health treatment network,Moderate hospitality fit: behavioral health treatment network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
Beacon Behavioral Partners,535,"Beacon Behavioral Partners is a physician-driven organization supporting a growing network of independent psychiatric practices nationwide. We partner with providers to deliver high-quality behavioral healthcare by removing operational burdens, enabling smart growth, and preserving clinical autonomy. Our mission is to set the standard for interventional psychiatry through trusted local practices, data-driven strategy, and continuous innovation.",Behavioral health treatment network,"Strong hospitality fit: behavioral health treatment network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
Biogen - Zurzuvae,1963,,Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Brain Health USA,351,"Brain Health USA is a comprehensive mental health care provider located in Gardena, California, committed to serving individuals of all ages with a wide range of psychiatric and psychological services. With a professional team of over 200 board-certified psychiatrists and licensed mental health experts, the organization is known for its personalized, compassionate, and evidence-based approach to mental health care. The clinic offers a broad spectrum of services tailored to meet each patient's unique needs. These include detailed psychiatric evaluations, which help establish accurate diagnoses and inform individualized treatment strategies. Medication management is another core service, ensuring that patients receive the most effective pharmacological treatments with close monitoring. Brain Health USA also offers individual and group therapy, utilizing methods like Cognitive Behavioral Therapy (CBT) to treat conditions such as depression, anxiety, PTSD, and mood disorders. For children and adolescents, Brain Health USA provides specialized pediatric and adolescent psychiatric services, addressing developmental, behavioral, and emotional challenges. They also offer comprehensive ADHD testing and treatment plans, making them a go-to provider for families seeking support for attention-related disorders. In addition, the clinic provides substance use disorder treatments, including Suboxone therapy, to assist individuals on the path to recovery from opioid or other substance dependencies. Accessibility is a major focus for Brain Health USA. The clinic offers telehealth services, enabling virtual visits for patients who are unable to attend appointments in person, thereby increasing flexibility and maintaining continuity of care. Their extended office hours—open seven days a week from 7:00 AM to 9:00 PM—ensure that patients with various schedules can receive the help they need. To further support patients during times of acute distress, Brain Health USA provides 24-hour crisis line support, offering immediate assistance and guidance when it’s needed most. The clinic also accepts a wide variety of insurance plans, including Medi-Cal and Medicare, helping to remove financial barriers to quality mental health care. Beyond direct treatment, Brain Health USA is actively involved in community outreach and mental health education. They work to reduce stigma and promote awareness through workshops, support groups, and public engagement. This commitment to education and advocacy highlights their broader mission to create a more informed, empathetic society when it comes to mental health challenges. Patient feedback consistently reflects satisfaction with the level of care and professionalism at Brain Health USA. Testimonials often highlight the clinic’s ability to make patients feel heard, respected, and genuinely supported on their journey toward mental wellness. Their patient-centered model emphasizes trust, transparency, and long-term support.",Behavioral health treatment network,Moderate hospitality fit: behavioral health treatment network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
Brain Ultimate,1741,"Brain Ultimate stands at the forefront of neuromodulation technology. Through partnering with Shenzhen Yingchi Technology, we bring cutting-edge TMS products to the North American market. Based in north Atlanta, we make advanced TMS Technology Accessible. From our inception, we've championed TMS as an essential tool in treating Major Depressive Disorder, Obsessive-Compulsive Disorder, Anxious Depression, Smoking Cessation, and Migraine.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Bristol Myers Squibb Company,1143,"Bristol Myers Squibb is a leading global biopharma company focused on discovering, developing, and delivering innovative medicines for patients with serious diseases in areas including oncology, hematology, immunology, cardiovascular, fibrosis and neuroscience. Our employees work every day to transform patients’ lives through science.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
California Correctional Health Care Services,531,"Increased Salaries are Just the Beginning… CCHCS is poised to meet the evolving clinical care demands of our patient population while responding to the day-to-day needs of our dedicated providers. If you’re dedicated to elevating mental health care and want comprehensive State of CA benefits, including a restructured recruitment and retention bonus, you belong here. Visit Booth #2317 to learn more or cchcs.ca.gov/careers/psychiatrist-opportunities.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
California Department of State Hospitals,340,"DSH is the nation’s largest forensic mental health hospital system, operating five facilities across California. We provide treatment to a diverse population in various legal and clinical contexts, prioritizing clinical excellence and patient care. With nearly 13,000 employees and over 275 job classifications, we offer a wide range of opportunities for individuals from various backgrounds and skill sets to join us in our mission to provide responsible treatment in a safe environment.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Callyope,KIOSK 3,,Specialty/unclear exhibitor,Limited hospitality fit: kiosk presence suggests smaller onsite footprint; keep outreach lightweight.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Calmify Collective,KIOSK 9,,Specialty/unclear exhibitor,Limited hospitality fit: kiosk presence suggests smaller onsite footprint; keep outreach lightweight.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Cambridge University Press,649,"Cambridge has a broad coverage across major specialties in mental health with a particular focus on psychiatry. Our psychopharmacology comes from the portfolio of titles from Dr. Stahl, including Prescriber’s Guide and Essential Psychopharmacology. Key titles on therapeutic treatments to clinical information for use in a patient consultation, the Cambridge list supports trainees, physicians & all mental health professionals treating patients with a psychiatric illness.",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
Center Psychiatry,447,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
CharmHealth,1534,"CharmHealth is an award winning suite of integrated software solutions that connects providers, patients, and innovators, giving patients easy access to the care and innovation they need; giving providers access to patients and innovators; and giving entrepreneurs access to patients and providers who can most benefit from their innovations.",Healthtech/EHR/practice software,"Strong hospitality fit: healthtech/ehr/practice software exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Chickasaw Nation Department of Health,543,"The Chickasaw Nation Department of Health is a tribally run health system with a strong Behavioral Health team. Competitive compensation, annual incentive program, excellent benefits, low cost of living, and progressive vision matched by incredible growth make this an organization to explore. We are building a second hospital near Oklahoma City, projected to open in 2029. Please visit us at Booth #543 during APA in San Francisco for more details!",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
"Christian Medical & Dental Associations, Psychiatry Section",2046,"The Christian Medical and Dental Associations (CMDA) is a 15,000 member association Together - Transforming Healthcare for Christ. CMDA educates, encourages, and equips Christian healthcare professionals to glorify God by following Christ, serving with excellence and compassion, caring for all people, and advancing Biblical principles impacting healthcare within the Church and throughout the world. The CMDA Psychiatry Section supports psychiatrists and related mental health professionals who are Christians by 1) Supporting Christian Psychiatrists, 2) Promoting Fellowship in Psychiatry, 3) Integrating Faith in Psychiatric Practice, 4) Validating a Christ-centered Approach, 5) Affirming Psychiatry within the Church, 6) Supporting Global Workers and 7) Presenting a Positive Witness to Colleagues, Patients and Society.",Education/CME/publishing,Limited hospitality fit: education/cme/publishing exhibitor is less likely to buy restaurant or event support.,Low,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
